Model,In,Out,Batch,Compiled,Fwd Mean (ms),Fwd Std (ms),Bwd Mean (ms),Bwd Std (ms)
PoincareActivation (ReLU),16384,32,512,False,0.6602938229387457,0.0014194347218709994,2.594402008868278,0.003166152275901993
Euclidean Linear,16384,32,512,False,0.1602559986969699,0.001396060340465211,0.23249157438886928,0.0028493850042763417
Euclidean Linear no bias,16384,32,512,False,0.09886052184130835,0.0009234878441206988,0.2255419520444648,0.0007679766898108854
Euclidean Linear + ReLU,16384,32,512,False,0.16942545636133713,0.000858255881826047,0.25101963633840735,0.001441408107056703
Euclidean Linear no bias + ReLU,16384,32,512,False,0.10823854482309385,0.0007419667197114185,0.24480581452900713,0.0011002373086755949
Lorentz_FC (MLR),16384,64,512,False,0.4005205339855618,0.000879549502121356,0.5276432379763177,0.0013309704076087006
Lorentz_FC cached (MLR),16384,64,512,False,0.23790191567462424,0.0007413230448191231,0.41599375954488427,0.0011703955822783185
Lorentz_FC + ReLU,16384,64,512,False,0.36955951063000425,0.003091062744737976,0.5461730111476987,0.0021864816630681864
Lorentz_FC cached + ReLU,16384,64,512,False,0.20107158712851694,0.0011706935931858626,0.4350094892257868,0.0017839827211527698
BdeirLorentzMLR,16384,64,512,False,0.5388956799799082,0.005277553299434028,1.1044384672286662,0.004127498552567731
"ChenLinear (bias=F, norm=F)",16384,64,512,False,0.22099591852450856,0.003945231583857148,0.4748309787283552,0.003167928653543892
"ChenLinear (bias=T, norm=T)",16384,64,512,False,0.49528163245746065,0.005259731404729254,0.8484384620443304,0.0045541101694380965
Poincare_Dist2Hyperplanes,16384,64,512,False,0.47877224306670985,0.005225743444847354,1.118839826989681,0.004158437484121377
Poincare_Linear,16384,64,512,False,0.8796387553215027,0.005988387142887691,1.5830372157304182,0.004251130770535887
PoincareActivation (ReLU),16384,64,512,False,0.659478265306224,0.0018053232008278179,2.595263972878456,0.0032375644589304788
Euclidean Linear,16384,64,512,False,0.16584347901136978,0.0038608342275776135,0.30487272482026706,0.0014376438541288004
Euclidean Linear no bias,16384,64,512,False,0.12932654775001787,0.0009153608825129633,0.29043756554956024,0.0010538101659789503
Euclidean Linear + ReLU,16384,64,512,False,0.17521530454573425,0.003260815919826448,0.3243519975380464,0.001198266610623284
Euclidean Linear no bias + ReLU,16384,64,512,False,0.13856581700119106,0.0008670461150936663,0.30947555436028373,0.0011603103512677322
Lorentz_FC (MLR),16384,128,512,False,0.45591466687619686,0.003693502258168681,0.6880565521328948,0.0015985653741785752
Lorentz_FC cached (MLR),16384,128,512,False,0.2881279930472374,0.0008471230962329502,0.5333514885699495,0.0021331450828552282
Lorentz_FC + ReLU,16384,128,512,False,0.3950679156374424,0.0028468816788750494,0.7014400092038241,0.0022048918906138284
Lorentz_FC cached + ReLU,16384,128,512,False,0.22187408351379892,0.0008004630557874648,0.5484718211153721,0.002814687861922829
BdeirLorentzMLR,16384,128,512,False,0.5663555909176262,0.0043338003438630375,1.1811944538233232,0.004816864727902869
"ChenLinear (bias=F, norm=F)",16384,128,512,False,0.28609163652766834,0.000905846340359111,0.5915452013624475,0.0032867609287684416
"ChenLinear (bias=T, norm=T)",16384,128,512,False,0.4982282458519449,0.005635557780667713,0.9701333356400331,0.006478836965603251
Poincare_Dist2Hyperplanes,16384,128,512,False,0.49381877512347944,0.004160951665513514,1.2646826629837353,0.005166548206340777
Poincare_Linear,16384,128,512,False,0.8814142462683887,0.004688629307875439,1.7285851523989724,0.0031710995341487384
PoincareActivation (ReLU),16384,128,512,False,0.6594560044877072,0.0018414996395704525,2.594009835669335,0.0030606450581953213
Euclidean Linear,16384,128,512,False,0.2299391996115446,0.0008552086726301715,0.4203054518862204,0.0009378591550114763
Euclidean Linear no bias,16384,128,512,False,0.21564509347081184,0.0008261005291969129,0.40962327136234805,0.001012026426440105
Euclidean Linear + ReLU,16384,128,512,False,0.23748266883194447,0.004179591215589553,0.4391497125228246,0.0010378361663366965
Euclidean Linear no bias + ReLU,16384,128,512,False,0.22436730304489966,0.0010509868842516993,0.42912426590919495,0.0012096864142576585
Lorentz_FC (MLR),16384,256,512,False,0.5891626688341299,0.0035625428093822476,1.0382247256196064,0.002039394210757829
Lorentz_FC cached (MLR),16384,256,512,False,0.420772973034117,0.0009113553154742278,0.7913386610647043,0.002428252558516849
Lorentz_FC + ReLU,16384,256,512,False,0.528085338572661,0.0028959933206442307,1.056896003584067,0.004723283030778815
Lorentz_FC cached + ReLU,16384,256,512,False,0.3557566480581151,0.0006710348244765201,0.8104106734196345,0.003439887838625324
BdeirLorentzMLR,16384,256,512,False,0.7276586753626665,0.004573444003488435,1.5876597603973077,0.0038429317003298375
"ChenLinear (bias=F, norm=F)",16384,256,512,False,0.4369136344413368,0.0019559400979119643,0.8555624485015869,0.0117868931798605
"ChenLinear (bias=T, norm=T)",16384,256,512,False,0.5581353580629503,0.00313089939033364,1.2393325688887615,0.012648417570980244
Poincare_Dist2Hyperplanes,16384,256,512,False,0.6446193854014078,0.0031699762960258086,1.6666240071256955,0.004588535327539011
Poincare_Linear,16384,256,512,False,0.8813958068688711,0.005154306133185036,2.1320135328504772,0.004408155305323177
PoincareActivation (ReLU),16384,256,512,False,0.659933873017629,0.0014254418628410505,2.59473063548406,0.0039374028220796435
Euclidean Linear,16384,256,512,False,0.3719418803039862,0.008293936253892057,0.6806928670924642,0.0011971389913273043
Euclidean Linear no bias,16384,256,512,False,0.36119893723064,0.0008191988976296681,0.6629003448919817,0.0009539052256626752
Euclidean Linear + ReLU,16384,256,512,False,0.38227200011412305,0.008374385124926068,0.6992869927332952,0.0006876978913793496
Euclidean Linear no bias + ReLU,16384,256,512,False,0.37077704525512195,0.0011058944979380038,0.6820316328558811,0.0011883146910706109
Lorentz_FC (MLR),16384,512,512,False,0.8670321689711676,0.00200920817588774,1.7647359718879063,0.003406679551542939
Lorentz_FC cached (MLR),16384,512,512,False,0.6692083818571908,0.0007490740632176814,1.2818618037483909,0.001485095806415963
Lorentz_FC + ReLU,16384,512,512,False,0.8252327053443246,0.001864197816104304,1.7768403524937837,0.003852911294496238
Lorentz_FC cached + ReLU,16384,512,512,False,0.6109050460483717,0.000694387432391448,1.2995649347914027,0.0036418147465387793
